fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3245535714285714,0.25810185185185164,0.22212797619047617,0.11106398809523808,0.14475353157644824,0.3243901830229955,0.463948470992742,0.463948470992742,0.1877857697058957,0.29788825634953525,0.28497955762030686,0.1723099501128387,0.14475353157644824,0.2463802348307557,0.295538948561084,0.295538948561084,0.8205745245422067
2,0.27587991718426486,0.2400621118012422,0.20772774327122148,0.10386387163561074,0.12597308488612835,0.30350507533931453,0.44791005291005287,0.44791005291005287,0.1613815686604541,0.273640820873912,0.26832503878911756,0.16174930112490543,0.12597308488612835,0.223577251552795,0.2714237728605934,0.2714237728605934,0.8099533170499307
3,0.30337301587301585,0.23885582010582004,0.213923611111111,0.1069618055555555,0.11713920579805993,0.30709008487654327,0.44252693727954145,0.44252693727954145,0.1596237187702617,0.27006364040246444,0.2698592874481746,0.16389117791953697,0.11713920579805993,0.21742970587154617,0.26622847543724276,0.26622847543724276,0.80373162578252
4,0.3511291114383896,0.2831206021927671,0.2264310260186548,0.1132155130093274,0.15461093418935834,0.3540165435121254,0.4651305209681499,0.4651305209681499,0.20349450712827974,0.3319755441399804,0.28828338170034945,0.1746834009440701,0.15461093418935834,0.2700537831502485,0.3131597425443154,0.3131597425443154,0.8241552920700796
5,0.2973404255319148,0.2480834177642687,0.20297365754812555,0.10148682877406277,0.13276820254213872,0.32632829050382234,0.44386409689601186,0.44386409689601186,0.1718875299689622,0.29249984855293587,0.2637285662459216,0.15836734431169097,0.13276820254213872,0.2413848592306039,0.28188638090632767,0.28188638090632767,0.8033082651386799
