fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.28806584362139914,0.22208504801097384,0.1858847736625514,0.0929423868312757,0.14835170487948263,0.30288359788359787,0.40776791281420915,0.40776791281420915,0.1831545116244971,0.2620296256023942,0.239671842725262,0.14444836890430057,0.14835170487948263,0.23457998562936824,0.2712011732551856,0.2712011732551856,0.7866300943953204
2,0.2598765432098765,0.219753086419753,0.1954320987654321,0.09771604938271605,0.11832190957190954,0.2910782204763686,0.4162419387882352,0.4162419387882352,0.15084247581068608,0.2551314784061337,0.2514610063618967,0.15182947842202044,0.11832190957190954,0.2144212406249444,0.25774060490264206,0.25774060490264206,0.7881673132046126
3,0.24895833333333325,0.2213194444444444,0.1913333333333334,0.0956666666666667,0.10770361467236464,0.2851415979853479,0.39341746158933655,0.39341746158933655,0.1408698800477644,0.25142035028504983,0.24004304885187114,0.14599055001328534,0.10770361467236464,0.1973875470594221,0.23670906211843712,0.23670906211843712,0.7837997898965755
4,0.32999999999999996,0.23062500000000002,0.18575,0.092875,0.16635326999389494,0.32906293879731374,0.4346512324481071,0.4346512324481071,0.20579464068189068,0.2813428527735121,0.2453318339744178,0.14639546237170178,0.16635326999389494,0.25386746095339846,0.2875330115486366,0.2875330115486366,0.7985501187909496
5,0.24999999999999994,0.19652777777777777,0.17575000000000002,0.08787500000000001,0.13198222365869425,0.256248506293543,0.37615445104323786,0.37615445104323786,0.16073394781838038,0.22385325706669476,0.22522536003903632,0.13592708708122053,0.13198222365869425,0.19888007871417793,0.23912679727339653,0.23912679727339653,0.7615440605193953
