fold,bestDim,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,none,0.3473251028806585,0.27448559670781875,0.23296296296296298,0.1701851851851852,0.15751175778953558,0.3667208905634831,0.5042031870735575,0.7298382858568042,0.20373790237806347,0.3186899886054289,0.3000645001517024,0.2639746827460432,0.15751175778953558,0.27550308345061425,0.32788163528286995,0.3843844500264253,0.884552983636451
2,none,0.3061728395061728,0.27750342935528105,0.23913580246913577,0.17508230452674903,0.13500180375180376,0.37617457645235414,0.5267773413143784,0.7614151657670174,0.17509521096974684,0.3207228448103458,0.30775986168431924,0.2726500951784068,0.13500180375180376,0.2659978830040559,0.31938841976496307,0.3779432977559814,0.9025437484910757
3,none,0.36208333333333337,0.29749999999999993,0.2517500000000001,0.17835416666666673,0.15979711665649166,0.3914595543345544,0.5361505965099714,0.7334537227818478,0.20580737869799903,0.3411547783742944,0.3200318714701392,0.27232815296280644,0.15979711665649166,0.27950593330280843,0.3334169035536223,0.3853868025878442,0.9012972660733289
4,none,0.3722916666666666,0.30500000000000005,0.24945833333333325,0.17875000000000002,0.1754336271367521,0.4184556433150182,0.5631297504578755,0.779082322191697,0.22350896676508775,0.3624285464502887,0.32630797128875205,0.2786600035857084,0.1754336271367521,0.31842054906898665,0.36669184123168497,0.42312345760775827,0.9123212202957198
5,none,0.30624999999999997,0.26104166666666656,0.22304166666666658,0.17239583333333336,0.14955166810313875,0.35914582772211434,0.5031174820889894,0.7490143972653163,0.1881597155594202,0.3045369461972759,0.29085461431772397,0.26893955599030983,0.14955166810313875,0.2560467867168235,0.3073198299725874,0.36802107896176633,0.8946252113403166
