fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.34702380952380946,0.27585978835978814,0.22947916666666668,0.11473958333333334,0.14913831442477274,0.34738242563763394,0.47113765622880205,0.47113765622880205,0.19936837072068478,0.3181045528938219,0.29164848438328567,0.17684219500172726,0.14913831442477274,0.2658117962284629,0.3132712299997457,0.3132712299997457,0.8160819007494009
2,0.40152691511387156,0.3024413388543821,0.24839544513457562,0.12419772256728781,0.17570285541752934,0.3639142655854613,0.48964875201288255,0.48964875201288255,0.2290148426056517,0.3418193439647153,0.3110659264177941,0.18966298255298014,0.17570285541752934,0.28973970314776487,0.34076717180430943,0.34076717180430943,0.8306932404203483
3,0.34747023809523797,0.2789103835978836,0.24470238095238095,0.12235119047619047,0.14899222883597882,0.35360566854056436,0.5061368083112876,0.5061368083112876,0.19716289988276645,0.3110984933906144,0.307306975882975,0.18681715715195402,0.14899222883597882,0.2641519694297471,0.32190462871105213,0.32190462871105213,0.8312552909114439
4,0.36865488463426604,0.29280805105547353,0.2525625920471281,0.12628129602356405,0.16134428388662558,0.35315403402848194,0.5101618754343351,0.5101618754343351,0.2135998309300587,0.32903614990193286,0.3213139206941777,0.19486014677581473,0.16134428388662558,0.2751367579469568,0.336928977693337,0.336928977693337,0.8353411472887695
5,0.3239614994934144,0.28350219520432274,0.23916919959473143,0.11958459979736571,0.14759870743913298,0.3935385580731325,0.5408625771391729,0.5408625771391729,0.18933738347181858,0.33257675677573645,0.31198924913367293,0.18689417943454598,0.14759870743913298,0.281247981972716,0.3339091049809136,0.3339091049809136,0.8399079930748368
