fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.34197530864197523,0.24615912208504798,0.2146090534979423,0.15310699588477364,0.1612546541250245,0.32949082981490385,0.46499772860883987,0.6444871777742148,0.20482290672004744,0.28381357681502545,0.275573496481589,0.2358353181946147,0.1612546541250245,0.2564793882386476,0.30817612188908505,0.35366606136000966,0.8556294394929445
2,0.2923868312757202,0.2475994513031549,0.21382716049382716,0.15866255144032917,0.13300591897814118,0.344577721661055,0.47038526802415714,0.6710172714802343,0.1715297604051143,0.29489021802844595,0.2752034496861877,0.24478167437855233,0.13300591897814118,0.2474946332816702,0.2918043597349153,0.3422762117161367,0.8657478407635913
3,0.31770833333333337,0.26749999999999996,0.22925,0.16872916666666674,0.15518278133903135,0.33485423026048033,0.4838433875152625,0.6876314738502238,0.19350815009574185,0.2990164294246697,0.28938240907110874,0.25746333675728833,0.15518278133903135,0.2567491404236195,0.3066831100130579,0.35946107527145454,0.8762688401176417
4,0.35124999999999995,0.2425,0.20712499999999995,0.14560416666666673,0.17406705967643463,0.32070985958485954,0.4531973061660561,0.6208026556776558,0.22020542893140296,0.2858490254013507,0.2682070957759707,0.22586176563639654,0.17406705967643463,0.26085470085470086,0.30671970772283286,0.34718650774724064,0.8521863126659719
5,0.29541666666666666,0.22736111111111107,0.19420833333333334,0.15118749999999992,0.1506454181031387,0.31567102995044183,0.43699007375386045,0.6463171864899804,0.189118499427974,0.27153657964453287,0.2535579474786944,0.23387090361669866,0.1506454181031387,0.23976317738633904,0.2802548907944589,0.33048178669437867,0.8590980505065391
