fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.259670781893004,0.2288751714677641,0.20185185185185187,0.13580246913580246,0.11478526446119032,0.29783053195090237,0.45451712896157354,0.59681954019917,0.1484330020291943,0.26394390167219406,0.263214649412947,0.21238356818761456,0.11478526446119032,0.21316317941317942,0.26036491012416935,0.2950670609682956,0.8481703769948288
2,0.2347736625514403,0.22277091906721536,0.19037037037037038,0.14520576131687246,0.10272667147667146,0.28860696916252476,0.4228993862790161,0.6179361516398553,0.13428630357288138,0.2570849901217952,0.24665919664255728,0.22435508640653734,0.10272667147667146,0.20594799404984598,0.24769974881086004,0.2941558385091786,0.8412843586702865
3,0.3102083333333333,0.24638888888888885,0.19329166666666672,0.14743750000000005,0.1360285154660154,0.32697783119658125,0.4109530995624747,0.6044255570818071,0.17361665475690968,0.2898700018102876,0.24544026686663173,0.2254757933126837,0.1360285154660154,0.23770183086589336,0.26908848602207963,0.3160773062977863,0.8507177849795703
4,0.3454166666666666,0.24479166666666657,0.19375,0.1425208333333334,0.18390088904151403,0.3607998893467643,0.4382384768009767,0.6201975923382175,0.22433796016206786,0.3037476308458907,0.2539507508768944,0.22234173071647087,0.18390088904151403,0.2824899521774523,0.3123244473697598,0.3545547036785689,0.8540651632821861
5,0.248125,0.21187499999999995,0.18391666666666667,0.145375,0.12380514032536094,0.2816363223173885,0.39655604597608274,0.6111735998886735,0.15301574203798823,0.24696010109277594,0.23753261690649158,0.2244937137241772,0.12380514032536094,0.2095078549582227,0.2478072459165291,0.29724185225105004,0.843171439146319
