fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.36316872427983526,0.286625514403292,0.2376131687242798,0.1649588477366255,0.16875146972369195,0.4009272397698325,0.5251411157429676,0.723904432330358,0.21558134139907892,0.3406499452106506,0.3076934618595664,0.2582748392106379,0.16875146972369195,0.30162747774630494,0.3487611123729953,0.3977518417320372,0.8940250213633724
2,0.3144032921810698,0.2737311385459532,0.2393827160493827,0.1803086419753087,0.15175665383998718,0.3853980724351095,0.5405768220120072,0.7868227691375836,0.1896686532385503,0.31638553279962206,0.30932731122253054,0.28114276384757975,0.15175665383998718,0.28265916068385205,0.33950086587509415,0.4016704060318476,0.9118248126007494
3,0.2981250000000001,0.27652777777777765,0.2531250000000001,0.1791875,0.1342076655982906,0.34200948819698807,0.5362312843406591,0.7428284048127798,0.17055055395377203,0.3052318107592718,0.3202764454501409,0.2735864839832908,0.1342076655982906,0.25004093109822284,0.3171089284654388,0.37054886227639205,0.9036304295709779
4,0.35604166666666665,0.290486111111111,0.2382916666666667,0.1717083333333333,0.17785723824786326,0.414887686965812,0.5392638698107448,0.7529886103479854,0.22140205643954966,0.3475186565476289,0.3110092342065429,0.2679439608936879,0.17785723824786326,0.3017406135531136,0.34926171207264955,0.40261866672238683,0.9092923579428953
5,0.3520833333333332,0.27312500000000006,0.233875,0.1716666666666667,0.16970419786504348,0.3617368641366802,0.5224039404223226,0.7482847345669035,0.21574650085124808,0.3182484258512974,0.30552231236744,0.26785956747934603,0.16970419786504348,0.27942027673783176,0.3339724166322512,0.39136603227161587,0.8955675273805144
