fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3473214285714287,0.2720320767195766,0.23207837301587295,0.11603918650793647,0.14168027044329118,0.3250611348528015,0.4444645824854158,0.4444645824854158,0.18978806935985346,0.3081302450706353,0.28886177664554624,0.17668967396425395,0.14168027044329118,0.2508352543964523,0.2978410809146485,0.2978410809146485,0.8084163602523304
2,0.31842650103519676,0.27562111801242223,0.22266563146997925,0.11133281573498963,0.14027979066022542,0.35568854957441903,0.46324613239015433,0.46324613239015433,0.18292814501422625,0.32132432282925977,0.28411803340098524,0.1720529461982831,0.14027979066022542,0.25647333410014556,0.29838368175369984,0.29838368175369984,0.8169466652346201
3,0.3337301587301588,0.2634093915343914,0.2235615079365079,0.11178075396825395,0.15111944720017637,0.33596147486772493,0.48788821373456787,0.48788821373456787,0.1946608558785667,0.3001776862122559,0.28634028682206775,0.1727965222889217,0.15111944720017637,0.25540602265211637,0.3072823591820988,0.3072823591820988,0.8266249618090229
4,0.3217476681394207,0.2583046964490263,0.21277368679430525,0.10638684339715263,0.13438654374589573,0.33052405763930087,0.44588837565641676,0.44588837565641676,0.1801596326944823,0.2992557621034888,0.27294833549065073,0.1649760087493376,0.13438654374589573,0.24245074526738739,0.2875377987391979,0.2875377987391979,0.7983670095600643
5,0.2988095238095238,0.2212343802769334,0.1931003039513677,0.09655015197568385,0.140637031408308,0.3130409144637867,0.4391599697583741,0.4391599697583741,0.17960840686515742,0.2649901975501614,0.2539724687053092,0.15179889090361712,0.140637031408308,0.23366303293829885,0.2754288541442796,0.2754288541442796,0.8005953772122905
