fold,bestDim,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,none,0.33106995884773655,0.2830589849108367,0.24769547325102884,0.12384773662551442,0.16149014394384772,0.38555312828460975,0.55027755509237,0.55027755509237,0.20233377375554124,0.32760983222750134,0.32243550372735746,0.19375800220757652,0.16149014394384772,0.28247626173552104,0.3440371082963676,0.3440371082963676,0.8469514864294748
2,none,0.35679012345678995,0.28436213991769543,0.2539917695473251,0.12699588477366255,0.169287518037518,0.37757448826893264,0.5507186503482797,0.5507186503482797,0.21174421212745448,0.32235587856531317,0.32470407480845875,0.1961313316778042,0.169287518037518,0.2854624953236064,0.348593135944988,0.348593135944988,0.8508077446931626
3,none,0.3352083333333332,0.27812499999999996,0.24220833333333336,0.12110416666666668,0.1561783997252747,0.3693819253663003,0.5262164097476597,0.5262164097476597,0.19825695292334888,0.3166987555183977,0.3095999157965033,0.1870111617453258,0.1561783997252747,0.26988407483719973,0.32502899782509165,0.32502899782509165,0.8494233093153648
4,none,0.36333333333333323,0.28854166666666664,0.24320833333333333,0.12160416666666667,0.1857473672161172,0.41098763736263744,0.5428040483821734,0.5428040483821734,0.2290601292885582,0.3431512372523526,0.31551229019198634,0.18965316922526082,0.1857473672161172,0.3124324538308914,0.36380486683455426,0.36380486683455426,0.8494535548591038
5,none,0.3083333333333333,0.2810416666666666,0.2376666666666666,0.1188333333333333,0.14420097365869428,0.38437029667636285,0.5338741785175608,0.5338741785175608,0.18306723940139086,0.33043976374916284,0.30929030708444333,0.1855762118850252,0.14420097365869428,0.2734833141055567,0.3273983260237855,0.3273983260237855,0.8391863896321572
