fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.34833829365079366,0.26882440476190467,0.2203720238095238,0.15559275793650798,0.15644830670872337,0.3329250663495455,0.4557765917531542,0.6232741433913306,0.20335061191596684,0.3089193745601328,0.2806599507923893,0.23918758510683957,0.15644830670872337,0.2614101036084542,0.3073036287513284,0.3496302307509939,0.85827342731019
2,0.31899585921325035,0.2660455486542441,0.23032091097308488,0.16630434782608688,0.13364281400966177,0.31929994824016567,0.46114058546123754,0.6419402749022318,0.1757873825468286,0.2924178339722789,0.2894015571957977,0.2526325287148996,0.13364281400966177,0.24206693073767335,0.2975396418027758,0.34535308440002405,0.8480154041497295
3,0.39841269841269833,0.2791253306878306,0.22279265873015872,0.163640873015873,0.19269248787477952,0.36705763613315684,0.46974144345238095,0.6314225777116403,0.24211211406027575,0.32765690152116167,0.2824637876289289,0.24692165626384965,0.19269248787477952,0.3008195317092886,0.34040919978137857,0.38660777230130733,0.8526190695601712
4,0.30260186548846335,0.2529455081001472,0.20556701030927832,0.1488905252822779,0.1316011099847624,0.3026920743305132,0.4011352372876673,0.5747482982571348,0.173782414121076,0.29067624738419273,0.2588560454915681,0.22770580500816984,0.1316011099847624,0.234871574996759,0.2736394037152505,0.3185402233848172,0.8284897560404899
5,0.34782168186423507,0.2820837554880107,0.22747720364741636,0.15943009118541035,0.15512804718921733,0.3861749140339567,0.48987790135396525,0.6747701751558132,0.2014779142762241,0.3377675265033121,0.2925820982715456,0.24601274333766532,0.15512804718921733,0.28010217422451467,0.3214015528895849,0.36598557594020503,0.8721924409847065
