fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3339506172839506,0.2650205761316871,0.23057613168724278,0.11528806584362139,0.17254409171075832,0.3770469242691464,0.5180760648816206,0.5180760648816206,0.2128383688176175,0.31127066038544243,0.2999315524620918,0.18015404006651062,0.17254409171075832,0.28145360126841606,0.3344518208985803,0.3344518208985803,0.8350173938008444
2,0.3275720164609052,0.27524005486968434,0.23053497942386816,0.11526748971193408,0.1610881745141004,0.3735457306753603,0.5283662685051574,0.5283662685051574,0.20085659122143737,0.3235545310725147,0.301629013505451,0.1807429083296281,0.1610881745141004,0.28338704134228826,0.3334274620840978,0.3334274620840978,0.8426201915841744
3,0.32562499999999994,0.25534722222222206,0.22212500000000013,0.11106250000000006,0.14063392221204718,0.3300724842287343,0.47921689942002443,0.47921689942002443,0.18446645029242864,0.2900751714410833,0.283112634117708,0.17114542670821356,0.14063392221204718,0.24489741257970432,0.2931544848477139,0.2931544848477139,0.8282461728924104
4,0.3275,0.27368055555555565,0.23237500000000005,0.11618750000000003,0.1545444902319902,0.37926839133089146,0.522312480921856,0.522312480921856,0.19415316858883622,0.3214310212562386,0.3037315350583309,0.1822422018153828,0.1545444902319902,0.27229009271978016,0.32417274877899876,0.32417274877899876,0.8437211676577924
5,0.2716666666666666,0.26333333333333325,0.22929166666666662,0.11464583333333331,0.14657623626373623,0.37937279142426183,0.5203646731128347,0.5203646731128347,0.1803370012822594,0.31445865386511523,0.3000876744559704,0.1797610126955148,0.14657623626373623,0.26973655533260305,0.3229660798828079,0.3229660798828079,0.8314482540198094
