fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.38559670781893,0.2910150891632372,0.23613168724279834,0.1741769547325103,0.18650851548999695,0.4037721349295423,0.5264245853597709,0.7432850328683661,0.234325857555083,0.35118105426737034,0.30786041787439244,0.27012170160410137,0.18650851548999695,0.30740602675787854,0.35334250574528353,0.4114833524630701,0.8899066960975974
2,0.3452674897119341,0.2737311385459532,0.23843621399176962,0.1746090534979424,0.16071559955819215,0.36614346730087466,0.5203632221687777,0.7618488010617638,0.20373930012928204,0.31620810514166364,0.30732708368034883,0.27178976491945916,0.16071559955819215,0.2779715586197068,0.33390109204924007,0.3906280783606621,0.9033401672409285
3,0.3477083333333333,0.30284722222222216,0.2488333333333333,0.17943750000000006,0.15268774165649163,0.385597037800163,0.5268161057692307,0.751439255189255,0.19737589437896888,0.34857155204239715,0.3139464810961174,0.27422241533570474,0.15268774165649163,0.2848512540700041,0.33372380252849004,0.39040658483909346,0.9095055250295468
4,0.298125,0.25388888888888883,0.2259166666666667,0.17250000000000004,0.13320024420024415,0.33386958180708176,0.5194371375152627,0.754499275030525,0.17291360488571988,0.29099592524331364,0.2956711255350991,0.26878440596767683,0.13320024420024415,0.24120878484940986,0.29853060643060647,0.35762498896193085,0.9009605397901728
5,0.360625,0.29104166666666653,0.2509583333333333,0.1831041666666666,0.1874388208809165,0.40136956721791267,0.5424079232654602,0.7729605632317028,0.22942189147521813,0.33871618475815,0.322831443334595,0.28380997441585626,0.1874388208809165,0.3028982130512461,0.36204241060206127,0.42086070011515997,0.903661118583084
