fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.31954732510288064,0.26570644718792863,0.2302880658436213,0.11514403292181065,0.14027370263481376,0.3534160609623574,0.5179621612954948,0.5179621612954948,0.18308160451855235,0.30538268119985706,0.3009518527747136,0.18063605874697325,0.14027370263481376,0.25841096888936393,0.31785205746471185,0.31785205746471185,0.8322204416804739
2,0.3236625514403292,0.27750342935528105,0.2537448559670781,0.12687242798353904,0.1597161874476689,0.3844045392193539,0.5770215604011902,0.5770215604011902,0.19708948409619817,0.3157966396557633,0.3323280773898554,0.19922797584873705,0.1597161874476689,0.2843061493833098,0.35418625110600416,0.35418625110600416,0.8607523307555167
3,0.3058333333333333,0.2808333333333333,0.24454166666666666,0.12227083333333333,0.12571287393162392,0.3583481125356126,0.5187741084147335,0.5187741084147335,0.16519586348705292,0.3125509986389844,0.309869397338273,0.18772189113019982,0.12571287393162392,0.2476929097137431,0.30617188178334004,0.30617188178334004,0.8469750473131104
4,0.32874999999999993,0.2729861111111111,0.23266666666666663,0.11633333333333332,0.14239543269230767,0.40088371871184353,0.5254778121184368,0.5254778121184368,0.18561549140643413,0.3296908297259346,0.3043772847428073,0.18256083926190672,0.14239543269230767,0.276277030550468,0.32267605947293443,0.32267605947293443,0.8552457180388325
5,0.34479166666666666,0.2551388888888889,0.23495833333333332,0.11747916666666666,0.16522875143647206,0.34209200827767006,0.5198530825791857,0.5198530825791857,0.20816111107374863,0.28982936367174394,0.3036601577353196,0.18259959522072802,0.16522875143647206,0.2612832698517442,0.32064502619691027,0.32064502619691027,0.8401353812931406
