fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.31502057613168716,0.2582304526748971,0.218312757201646,0.16109053497942388,0.16040254841180765,0.3505428402187661,0.4811535994869331,0.685158529741863,0.19779909112479618,0.30201187266361934,0.2817183421317891,0.24970529123235946,0.16040254841180765,0.2590669518524457,0.30413093159698096,0.3544886715603022,0.8760252916241742
2,0.3506172839506172,0.26049382716049374,0.2167901234567901,0.1637448559670782,0.18296712718009012,0.3738197450697449,0.4984620454990827,0.7270136550692108,0.22168374842099786,0.3118937964612375,0.28307413855166785,0.25581842861373844,0.18296712718009012,0.2846554537140958,0.3274360395548667,0.3810481707772272,0.8968754907024187
3,0.30624999999999997,0.25041666666666657,0.220625,0.16070833333333331,0.12605926943426943,0.31336729242979244,0.45456999135124115,0.6637439967439968,0.16410024581502797,0.2756755414318598,0.2759356249697744,0.2455124633462277,0.12605926943426943,0.22057236022079776,0.2712214670456858,0.31995462595279667,0.8705372520992416
4,0.2810416666666666,0.26965277777777785,0.21512499999999996,0.15472916666666667,0.12990609737484732,0.3772797046703297,0.48546655601343114,0.6735531517094021,0.16564673375980413,0.32547014023282983,0.2818096182615164,0.24054942390951206,0.12990609737484732,0.2577521844474971,0.29752608840811967,0.34193283138887687,0.8787960364434282
5,0.25562500000000005,0.21125,0.20224999999999996,0.15475,0.1167169992997199,0.27606912460497013,0.4405578920670831,0.65529992076959,0.14880538405215554,0.2376822487796868,0.2606690287765921,0.2392102884835829,0.1167169992997199,0.20016060430582483,0.25599099040257123,0.3103224457518049,0.8575767635335326
