fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.32283950617283946,0.2515775034293552,0.19913580246913584,0.09956790123456792,0.14677086116900928,0.32447965100742876,0.4263122405714999,0.4263122405714999,0.19111499744505567,0.30109574348986423,0.25680741608002433,0.1549741008693192,0.14677086116900928,0.2438042721453215,0.27665409533310764,0.27665409533310764,0.8050605064841887
2,0.3261316872427983,0.24039780521261989,0.21020576131687244,0.10510288065843622,0.16945678121604046,0.33338993996401395,0.47691883562253923,0.47691883562253923,0.20753739278305003,0.28120520022165957,0.27347293708306236,0.16418230901522257,0.16945678121604046,0.25754872727866546,0.3061678884672713,0.3061678884672713,0.8261669132156093
3,0.320625,0.25874999999999987,0.21879166666666666,0.10939583333333333,0.13898833689458687,0.3324355794668295,0.4523579441391939,0.4523579441391939,0.1777846887119651,0.29157610607796036,0.27315115432861814,0.16636001027274902,0.13898833689458687,0.24633653846153836,0.28894876469017083,0.28894876469017083,0.8136472548733314
4,0.32020833333333326,0.23604166666666654,0.20904166666666663,0.10452083333333331,0.1686903235653236,0.33608089133089136,0.48585975656288155,0.48585975656288155,0.20603484199170752,0.27913894301619124,0.275934195750091,0.16488770422584018,0.1686903235653236,0.25914000178062685,0.3080771259411885,0.3080771259411885,0.827074293192371
5,0.2922916666666666,0.2627083333333332,0.22387499999999988,0.11193749999999994,0.13055861254758316,0.3554655201824319,0.49175959518422774,0.49175959518422774,0.16811940411729678,0.30462686236020514,0.28874870305694866,0.1737206971331572,0.13055861254758316,0.2561043263993631,0.30798732749242863,0.30798732749242863,0.8170475225557915
