fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3752728174603175,0.27869543650793643,0.2156001984126984,0.1078000992063492,0.18573615668667756,0.3627262031949532,0.45243522970085487,0.45243522970085487,0.23298006074830505,0.3313748821200964,0.2758720818131412,0.1669048330638628,0.18573615668667756,0.2881439491899562,0.3235180032319789,0.3235180032319789,0.814008902655487
2,0.37758799171842644,0.2908988957902,0.23977225672877847,0.11988612836438924,0.16943847768576026,0.3593798884288013,0.47465543765815515,0.47465543765815515,0.22003430658368245,0.33386838400908664,0.2995124384642136,0.18266245649227286,0.16943847768576026,0.28728390269151133,0.3344476291120312,0.3344476291120312,0.8124136005212348
3,0.3624503968253969,0.2669642857142857,0.23934523809523808,0.11967261904761904,0.1553381972001763,0.3322108548280423,0.4908319554673721,0.4908319554673721,0.20394977428997252,0.2997466435798644,0.3018486702013315,0.18346387998642158,0.1553381972001763,0.2581638902667548,0.3158333505566578,0.3158333505566578,0.8213120227458086
4,0.3417771232204222,0.25978563246604475,0.21020618556701023,0.10510309278350512,0.13645158453884523,0.31125982101681654,0.4109700359368988,0.4109700359368988,0.18520429601455576,0.2976084128853468,0.2642014554746763,0.16102857979617455,0.13645158453884523,0.243863079387748,0.28395925681529505,0.28395925681529505,0.7859475104248703
5,0.3368034447821681,0.25792806484295844,0.2131509625126647,0.10657548125633234,0.16211512925608668,0.33287400985539284,0.4412036013631759,0.4412036013631759,0.20612749003646544,0.3003368717036493,0.26984167855828933,0.1634249326280232,0.16211512925608668,0.26377784301986434,0.30467436715176077,0.30467436715176077,0.7984267170784087
