fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.29856150793650793,0.21836144179894176,0.179171626984127,0.14355158730158726,0.1450173240147198,0.28368991974460717,0.37880799755799766,0.5881064518043685,0.1830280621750383,0.25613845829626103,0.2305670265841001,0.2208154306920638,0.1450173240147198,0.2275369559549247,0.2607178914835164,0.3076503095807413,0.8384911557061074
2,0.28113354037267074,0.2410110420979985,0.19543478260869557,0.14429347826086958,0.11486779675638373,0.3034909132735219,0.3885747354497354,0.573389694041868,0.15277194698058058,0.2770827345627637,0.2435298928467545,0.21997324026512982,0.11486779675638373,0.22466052977148995,0.2585404613334867,0.30061568554052054,0.8264757820026326
3,0.29570932539682543,0.23454034391534376,0.19488591269841263,0.1398511904761904,0.13570133377425045,0.3031801146384479,0.418558063271605,0.5686458333333334,0.1735463047437904,0.27071003093584195,0.24678785328228156,0.21251651791060241,0.13570133377425045,0.22597380676807752,0.26328818066578474,0.3000391350840105,0.8441545116113676
4,0.2825724104074619,0.22650139093438057,0.1897054491899852,0.1413451153657339,0.12619038852654468,0.28133874777652396,0.3837560089640355,0.5772848939638335,0.1644794005417511,0.26322504510501993,0.24195544862203155,0.21862414256776422,0.12619038852654468,0.21310444679277527,0.2492056146888622,0.29043559723518003,0.8423084837394235
5,0.3107649442755826,0.2134076325565687,0.18981762917933126,0.1361854103343465,0.14486251189708627,0.27701513616407225,0.40820131405237786,0.5908621357956464,0.18528544429997149,0.2424387873741771,0.24358577018509503,0.21181054068740213,0.14486251189708627,0.2187717921361539,0.26387630420210206,0.30412999103484784,0.8403964043044481
