fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3148148148148149,0.24526748971193402,0.21024691358024694,0.10512345679012347,0.1730433078581226,0.3455759758074573,0.46396662836477653,0.46396662836477653,0.20939204234491446,0.2905450735516411,0.27285558636523133,0.16420802816005262,0.1730433078581226,0.2617271999833727,0.30664127013818365,0.30664127013818365,0.8177065511448023
2,0.2559670781893005,0.2106995884773662,0.19600823045267496,0.09800411522633748,0.10780848609552311,0.2708698537402241,0.4101252828104679,0.4101252828104679,0.14186499989499027,0.23702366419265014,0.24964605901134954,0.15118535419539225,0.10780848609552311,0.19880350388066426,0.24731516146176635,0.24731516146176635,0.7777593067823908
3,0.33583333333333326,0.2575694444444444,0.2257916666666667,0.11289583333333335,0.15503893213268216,0.32345368462555973,0.44994573539886035,0.44994573539886035,0.1964098858917058,0.28843558370728545,0.2818763437152005,0.17190733493006147,0.15503893213268216,0.24883418231074486,0.29970423407610913,0.29970423407610913,0.8025057069730183
4,0.3681249999999999,0.2647222222222221,0.21133333333333332,0.10566666666666666,0.1832659684065934,0.3734623397435897,0.4888056891025639,0.4888056891025639,0.2310903674728685,0.32047753052238226,0.27845074112297186,0.16652055224358914,0.1832659684065934,0.2934026505901507,0.3310779567943631,0.3310779567943631,0.8204377398101483
5,0.33625,0.2660416666666666,0.21545833333333336,0.10772916666666668,0.173133775946276,0.3594191558033471,0.4702707704876823,0.4702707704876823,0.21539845998821475,0.3184914859747736,0.27847872964886433,0.1676773196461834,0.173133775946276,0.2813041299318873,0.32157808209287986,0.32157808209287986,0.8159782968541537
