fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.35064484126984147,0.24482473544973535,0.2043154761904762,0.1021577380952381,0.16147765525369692,0.31304983211233217,0.4183418708028084,0.4183418708028084,0.20988532514464084,0.2848370211296069,0.2592134642016576,0.15732043069435306,0.16147765525369692,0.2520945125958148,0.29125908146155544,0.29125908146155544,0.7848395719909567
2,0.2936076604554863,0.2345065562456866,0.20054347826086952,0.10027173913043476,0.12996010179434092,0.28535714285714275,0.4119159046468829,0.4119159046468829,0.16622274361020087,0.26340619753111794,0.25316410831281955,0.153768065471486,0.12996010179434092,0.21705345161414008,0.2601727508434936,0.2601727508434936,0.7925115883186108
3,0.2935019841269841,0.23213458994708983,0.18367063492063485,0.09183531746031742,0.1447735477292769,0.3290622244268078,0.3919285300925926,0.3919285300925926,0.18000313359632444,0.2811339444173984,0.23279912739049127,0.1410038355114426,0.1447735477292769,0.24171645355673113,0.26776698679085825,0.26776698679085825,0.7790485633005527
4,0.29720176730486,0.23041237113402063,0.19660284732449668,0.09830142366224834,0.13817810973186526,0.29939960567169693,0.3973215348307395,0.3973215348307395,0.17609323783544126,0.26797257172486083,0.249110055565797,0.15134911194876668,0.13817810973186526,0.23029794845148296,0.2676796474369192,0.2676796474369192,0.7888693355869937
5,0.27041540020263416,0.2032674772036473,0.17561803444782162,0.08780901722391081,0.12631704583832237,0.27569555739768503,0.39865724110404965,0.39865724110404965,0.16196069004010172,0.23721385504215914,0.22895022781046057,0.13712162131728253,0.12631704583832237,0.2101759457544031,0.2506498431631411,0.2506498431631411,0.768362222398609
