fold,prec@1,prec@3,prec@5,prec@10,rec@1,rec@3,rec@5,rec@10,f1@1,f1@3,f1@5,f1@10,map@1,map@3,map@5,map@10,auc
1,0.3892113095238096,0.31125992063492053,0.24967261904761892,0.17453869047619044,0.17010819427486093,0.40464198802740475,0.5246994768348936,0.714211325422263,0.2227649743634229,0.3634968875309365,0.319068082575355,0.26885764116739647,0.17010819427486093,0.30411049919730476,0.35332782734562235,0.40303018139050195,0.8877093128777916
2,0.34813664596273286,0.29604899930986883,0.25681677018633525,0.18147774327122154,0.15343189268461008,0.3740571802392455,0.5206601535541754,0.7218461007591445,0.20262632788884472,0.3364049849824598,0.32499980955091406,0.2768930980481463,0.15343189268461008,0.2770046392147841,0.33509879898013933,0.38861146949889713,0.8878967226973142
3,0.37078373015873,0.27686011904761887,0.23380456349206336,0.16940724206349203,0.16960648148148152,0.34947703097442684,0.47779803240740737,0.6841789985670194,0.21500099904386696,0.3164331267729619,0.29234483156714586,0.25700903024701355,0.16960648148148152,0.274653788212816,0.31940868652630805,0.37203883744855964,0.8843581432203109
4,0.3097447226313206,0.25967926689576176,0.22221894943544426,0.16662248404516447,0.12603566168735536,0.31430555821203837,0.4530410219382977,0.6741841649187008,0.16952303540760338,0.29685932700221884,0.2826900925991212,0.25670306031077605,0.12603566168735536,0.23542397110880167,0.28393447789664655,0.33773395093311026,0.8695126962250583
5,0.36783181357649436,0.2721800067544748,0.2289007092198582,0.16627659574468087,0.16717557413036135,0.363787706088238,0.5050774461944676,0.7032372547665101,0.21949898215011493,0.3211539399799022,0.2966891184346034,0.2574086490335609,0.16717557413036135,0.2809742946179117,0.32990712980872544,0.38269956436439456,0.8772170818048384
